,dn,yard,a,n_yard,p
0,1,0,0,0,0.26068258057461413
1,1,0,0,1,0.10345624478468962
2,1,0,0,2,0.11512994270478155
3,1,0,0,3,0.11722822428016927
4,1,0,0,4,0.10921640350192952
5,1,0,0,5,0.09310150627853875
6,1,0,0,6,0.07261773743067634
7,1,0,0,7,0.051826857334362986
8,1,0,0,8,0.03384642215947575
9,1,0,0,9,0.02022833664851109
10,1,0,0,10,0.02266574430225099
11,1,0,1,0,0.3205663966117693
12,1,0,1,1,0.0887466295352603
13,1,0,1,2,0.09402016442882677
14,1,0,1,3,0.09402861382805605
15,1,0,1,4,0.08877053457331541
16,1,0,1,5,0.07911309378730191
17,1,0,1,6,0.06655810831348452
18,1,0,1,7,0.052860484435472976
19,1,0,1,8,0.039632106108232645
20,1,0,1,9,0.028052031913277653
21,1,0,1,10,0.047651836465002484
22,1,0,2,0,0.2672047932784354
23,1,0,2,1,0.06131600631322237
24,1,0,2,2,0.06667254983732096
25,1,0,2,3,0.07014818393108418
26,1,0,2,4,0.0714136134071146
27,1,0,2,5,0.07034616482249967
28,1,0,2,6,0.0670493911923088
29,1,0,2,7,0.061836507723985856
30,1,0,2,8,0.055181328278684716
31,1,0,2,9,0.04764734715157504
32,1,0,2,10,0.16118411406376842
33,1,0,3,0,0.23605180878553583
34,1,0,3,1,0.039738112264612824
35,1,0,3,2,0.043062571043546494
36,1,0,3,3,0.04589878735686587
37,1,0,3,4,0.0481182448786468
38,1,0,3,5,0.04961635043806806
39,1,0,3,6,0.050320598503352576
40,1,0,3,7,0.05019638692719608
41,1,0,3,8,0.04924983446721798
42,1,0,3,9,0.047527280643201886
43,1,0,3,10,0.3402200246917556
44,1,0,4,0,0.24689680642787853
45,1,0,4,1,0.02713555630692488
46,1,0,4,2,0.028733114427055728
47,1,0,4,3,0.03018577533269784
48,1,0,4,4,0.03146274767098195
49,1,0,4,5,0.03253605304281593
50,1,0,4,6,0.03338154261543552
51,1,0,4,7,0.0339797994152799
52,1,0,4,8,0.03431687926948407
53,1,0,4,9,0.03438485092641791
54,1,0,4,10,0.46698687456502774
55,1,1,0,0,0.0
56,1,1,0,1,0.2819949800180757
57,1,1,0,2,0.10864875305844168
58,1,1,0,3,0.11856964617802929
59,1,1,0,4,0.1180358638797191
60,1,1,0,5,0.10718797150652126
61,1,1,0,6,0.08879157065367815
62,1,1,0,7,0.06709594832723964
63,1,1,0,8,0.04625209996851942
64,1,1,0,9,0.029087293786824064
65,1,1,0,10,0.03433587262295168
66,1,1,1,0,0.0
67,1,1,1,1,0.3480729647076946
68,1,1,1,2,0.09121718628110886
69,1,1,1,3,0.09487320902368995
70,1,1,1,4,0.09311975280627516
71,1,1,1,5,0.08625247423244486
72,1,1,1,6,0.07539354961701294
73,1,1,1,7,0.062191730165365944
74,1,1,1,8,0.04841416383724406
75,1,1,1,9,0.03556835328728236
76,1,1,1,10,0.06489661604188124
77,1,1,2,0,0.0
78,1,1,2,1,0.2829099553700586
79,1,1,2,2,0.06215431447028125
80,1,1,2,3,0.06697162042866878
81,1,1,2,4,0.06987342622722542
82,1,1,2,5,0.07058853675446186
83,1,1,2,6,0.06904893460863593
84,1,1,2,7,0.06540044649186305
85,1,1,2,8,0.0599799632703899
86,1,1,2,9,0.05326414345313313
87,1,1,2,10,0.1998086589252821
88,1,1,3,0,0.0
89,1,1,3,1,0.24694549220184128
90,1,1,3,2,0.039750396302314556
91,1,1,3,3,0.04283162766232851
92,1,1,3,4,0.04542466262934852
93,1,1,3,5,0.04741565198998848
94,1,1,3,6,0.048714006959699796
95,1,1,3,7,0.049259229230051216
96,1,1,3,8,0.0490255840139302
97,1,1,3,9,0.04802411340320234
98,1,1,3,10,0.3826092356072951
99,1,1,4,0,0.0
100,1,1,4,1,0.25761038168522327
101,1,1,4,2,0.027055550222905123
102,1,1,4,3,0.028540516060927
103,1,1,4,4,0.029880182830892665
104,1,1,4,5,0.031047004747758566
105,1,1,4,6,0.03201624896831423
106,1,1,4,7,0.03276686553514602
107,1,1,4,8,0.03328224679114544
108,1,1,4,9,0.03355083803079534
109,1,1,4,10,0.49425016512689235
110,1,2,0,0,0.0
111,1,2,0,1,0.0
112,1,2,0,2,0.31233589672549206
113,1,2,0,3,0.11448935713593283
114,1,2,0,4,0.12155367819125185
115,1,2,0,5,0.11736457318180538
116,1,2,0,6,0.10305580031383876
117,1,2,0,7,0.0822957369599101
118,1,2,0,8,0.05976665695310113
119,1,2,0,9,0.03947604283753203
